TS,LAI,tair,VPD,ppt,sw,GPP
258,4.312903226,26.70229167,0.989336855,0,227.42875,7.6265092
259,4.3,27.865625,1.033309177,0,219.54125,6.9207307
260,4.3,28.0525,0.994166413,0,218.0552083,5.1512829
261,4.3,28.50375,1.127094939,0,229.3939583,3.756837
262,4.3,27.74979167,0.874829219,38.16,202.80375,3.1860368
263,4.3,22.15583333,0.203434213,3,61.83041667,5.7601889
264,4.3,24.17104167,0.525011618,0,180.5189583,10.1512096
265,4.3,24.91125,0.41687968,1.8,151.86125,10.0261006
266,4.3,23.05229167,0.301677723,8.84,142.2458333,10.3827996
267,4.3,17.39229167,0.099508238,8.61,53.619375,5.2420013
268,4.3,21.67765658,0.689692936,0,258.4326387,12.1399391
269,4.3,26.1166617,1.073598607,0,292.3796379,11.0454986
270,4.3,27.6417222,1.419887398,0,281.9770498,10.3429277
271,4.3,27.98494515,1.255364116,0,236.0876499,11.1263401
272,4.3,22.91516542,0.415260283,0,112.9758077,9.8307516
273,4.3,21.08953688,0.785141337,0,263.8569678,12.7630273
274,4.3,22.47155475,0.731389954,0,265.3854341,11.7697766
275,4.3,24.30849185,0.811012413,0,221.5787157,11.6561101
276,4.3,25.81609365,0.865597278,0,224.5855723,11.6220421
277,4.3,26.70470375,0.959589577,0,256.3517524,10.7405032
278,4.3,26.79616373,0.829959987,0,248.777788,11.4271557
279,4.3,27.3129821,1.09738241,0,281.1544132,9.8891603
280,4.3,27.07590035,0.941978184,0,246.8549572,10.4184899
281,4.3,24.42316402,0.689145632,0,171.293404,10.1230312
282,4.3,25.76510618,1.000365798,0,249.9441968,7.1964633
283,4.3,26.5636451,1.008861262,0,239.4429903,5.3288824
284,4.3,28.08176178,1.425929638,0,285.1797922,3.0219024
285,4.3,28.40931155,1.587547584,0,240.881153,1.758314
286,4.3,27.00931807,1.193716964,0,20.60658851,0.7160738
287,4.3,22.91516542,0.415260283,0,243.1059438,3.0354417
288,4.3,21.08953688,0.785141337,0,252.4120435,1.1801757
289,4.3,22.47155475,0.731389954,0,183.4061255,0.8657321
290,4.306451613,24.30849185,0.811012413,0,157.7730368,0.6174205
291,4.312903226,25.81609365,0.865597278,0,201.4331791,0.3870789
292,4.319354839,26.70470375,0.959589577,0,263.5273715,0.4012435
293,4.325806452,26.79616373,0.829959987,0,238.8872151,0.3621556
294,4.332258065,27.3129821,1.09738241,0,147.7221709,0.0701318
295,4.338709677,27.07590035,0.941978184,0,242.2011495,0.1010673
296,4.34516129,24.42316402,0.689145632,0,222.3543569,0.0661081
297,4.351612903,25.76510618,1.000365798,0,255.5408064,0.0734318
298,4.358064516,26.5636451,1.008861262,0,244.2183163,0
299,4.364516129,28.08176178,1.425929638,0,192.8972894,0
300,4.370967742,28.40931155,1.587547584,0,118.7894665,0
301,4.377419355,24.59907466,0.4567587,0.4,150.0939583,0
302,4.383870968,27.280625,0.707416676,0,246.2958333,0
303,4.390322581,28.86416667,1.067145869,0,253.695,0
304,4.396774194,28.27604167,0.807888653,0,225.3097917,0
305,4.403225806,29.61604167,1.045884773,0,264.1995833,0
306,4.409677419,27.76666667,0.680246022,0,216.3035417,0
307,4.416129032,25.94791667,0.400115933,33.15,168.43875,9.5312576
